date,open,high,low,close,volume
2020-11-09,603444,465.0,474.74,462.98,456.67
2020-11-10,603444,468.0,475.8,465.02,450.18
2020-11-11,603444,445.98,468.98,467.9,443.1
2020-11-12,603444,436.36,451.97,450.0,433.28
2020-11-13,603444,434.86,440.0,436.28,428.94
2020-11-16,603444,423.1,435.0,432.63,421.0
2020-11-17,603444,416.2,427.9,427.9,410.17
2020-11-18,603444,406.3,422.88,418.0,405.27
2020-11-19,603444,406.85,412.39,410.08,396.24
2020-11-20,603444,408.65,413.66,406.29,402.12
2020-11-23,603444,402.92,412.0,410.65,401.17
2020-11-24,603444,402.1,408.97,403.94,400.0
2020-11-25,603444,377.52,402.1,402.04,376.1
2020-11-26,603444,368.86,384.8,383.0,366.75
2020-11-27,603444,366.69,371.5,369.55,362.11
2020-11-30,603444,375.81,381.08,368.0,356.0
2020-12-01,603444,396.0,404.3,374.16,371.0
2020-12-02,603444,401.87,410.66,399.79,390.2
2020-12-03,603444,406.9,410.96,399.58,399.54
2020-12-04,603444,401.8,409.19,405.02,397.77
2020-12-07,603444,401.0,404.26,401.48,396.0
2020-12-08,603444,410.3,416.87,401.32,399.32
2020-12-09,603444,404.6,413.86,410.26,403.0
2020-12-10,603444,401.0,406.62,400.0,393.06
2020-12-11,603444,396.21,404.5,402.34,389.02
2020-12-14,603444,403.79,403.8,396.0,386.0
2020-12-15,603444,415.0,416.0,403.79,401.0
2020-12-16,603444,433.06,437.0,417.0,412.02
2020-12-17,603444,411.86,433.48,430.57,410.8
2020-12-18,603444,406.0,414.95,414.95,400.68
2020-12-21,603444,432.17,434.95,406.0,405.54
2020-12-22,603444,430.16,440.05,432.19,427.0
2020-12-23,603444,427.71,429.93,429.93,416.0
2020-12-24,603444,420.01,432.0,427.45,419.0
2020-12-25,603444,412.97,418.99,418.99,409.44
2020-12-28,603444,389.99,415.88,415.17,385.75
2020-12-29,603444,415.0,422.46,391.5,388.0
2020-12-30,603444,431.25,433.0,411.0,403.0
2020-12-31,603444,426.0,431.25,431.2,418.08
2021-01-04,603444,437.99,447.74,430.8,430.8
2021-01-05,603444,433.24,449.0,439.97,426.71
