trade_date,ts_code,name,close,p_change,rank,market_type,amount,net_amount,sh_amount,sh_net_amount,sh_buy,sh_sell,sz_amount,sz_net_amount,sz_buy,sz_sell
20241127,00883.HK,中国海洋石油,17.26,0.14,6,4,,,,,,,524380580.0,73909700.0,299145140.0,225235440.0
20241127,00981.HK,中芯国际,25.7,1.05,5,4,,,,,,,627005890.0,-3008340.0,311998775.0,315007115.0
20241127,00700.HK,腾讯控股,402.8,9.0,4,4,,,,,,,897015140.0,378764340.0,637889740.0,259125400.0
20241127,01810.HK,小米集团-W,28.3,1.1,3,4,,,,,,,936403240.0,223079640.0,579741440.0,356661800.0
20241127,03690.HK,美团-W,176.2,11.9,2,4,,,,,,,1297650008.0,332478952.0,815064480.0,482585528.0
20241127,09988.HK,阿里巴巴-W,85.0,1.65,1,4,,,,,,,1401680800.0,1133923650.0,1267802225.0,133878575.0
20241127,02443.HK,汽车街,6.8,-5.44,10,2,,,563505626.0,189364218.0,376434922.0,187070704.0,,,,
20241127,00941.HK,中国移动,72.0,0.8,9,2,,,563685185.0,49031215.0,306358200.0,257326985.0,,,,
20241127,02158.HK,医渡科技,5.92,0.66,8,2,,,567083111.0,-22349671.0,272366720.0,294716391.0,,,,
20241127,02498.HK,速腾聚创,18.88,2.0,7,2,,,662593286.0,117775740.0,390184513.0,272408773.0,,,,
20241127,02800.HK,盈富基金,19.76,0.49,6,2,,,710609700.0,-704633530.0,2988085.0,707621615.0,,,,
20241127,00981.HK,中芯国际,25.7,1.05,5,2,,,847342975.0,2304725.0,424823850.0,422519125.0,,,,
20241127,09988.HK,阿里巴巴-W,85.0,1.65,4,2,,,1016004596.0,552807184.0,784405890.0,231598706.0,,,,
20241127,01810.HK,小米集团-W,28.3,1.1,3,2,,,1534663103.0,-643773063.0,445445020.0,1089218083.0,,,,
20241127,00700.HK,腾讯控股,402.8,9.0,2,2,,,1752557297.0,339779303.0,1046168300.0,706388997.0,,,,
20241127,03690.HK,美团-W,176.2,11.9,1,2,,,1867837313.0,621837147.0,1244837230.0,623000083.0,,,,
20241126,09868.HK,小鹏汽车-W,44.4,-0.75,10,4,,,,,,,272006135.0,-65357055.0,103324540.0,168681595.0
20241126,02800.HK,盈富基金,19.27,-0.02,9,4,,,,,,,310876320.0,309388590.0,310132455.0,743865.0
20241126,00981.HK,中芯国际,24.65,-0.45,8,4,,,,,,,331570593.0,57764357.0,194667475.0,136903118.0
20241126,02158.HK,医渡科技,5.26,0.37,7,4,,,,,,,386774021.0,37822211.0,212298116.0,174475905.0
20241126,00941.HK,中国移动,71.2,0.3,6,4,,,,,,,562106700.0,64439900.0,313273300.0,248833400.0
20241126,00700.HK,腾讯控股,393.8,-1.4,5,4,,,,,,,570865595.0,137669005.0,354267300.0,216598295.0
20241126,00883.HK,中国海洋石油,17.12,-0.2,4,4,,,,,,,689624700.0,161753900.0,425689300.0,263935400.0
20241126,09988.HK,阿里巴巴-W,83.35,1.4,3,4,,,,,,,744817995.0,433479935.0,589148965.0,155669030.0
20241126,03690.HK,美团-W,164.3,2.3,2,4,,,,,,,848834416.0,116551484.0,482692950.0,366141466.0
20241126,01810.HK,小米集团-W,27.2,-1.2,1,4,,,,,,,1177458431.0,-7019851.0,585219290.0,592239141.0
20241126,00941.HK,中国移动,71.2,0.3,10,2,,,516039500.0,328807800.0,422423650.0,93615850.0,,,,
20241126,06682.HK,第四范式,42.05,-5.5,9,2,,,524417400.0,58301430.0,291359415.0,233057985.0,,,,
20241126,02800.HK,盈富基金,19.27,-0.02,8,2,,,563111815.0,558080435.0,560596125.0,2515690.0,,,,
20241126,02465.HK,龙蟠科技,6.96,0.56,7,2,,,640595930.0,31750700.0,336173315.0,304422615.0,,,,
20241126,03690.HK,美团-W,164.3,2.3,6,2,,,641427744.0,-42313684.0,299557030.0,341870714.0,,,,
20241126,09890.HK,中旭未来,8.5,1.4,5,2,,,663914972.0,20547520.0,342231246.0,321683726.0,,,,
20241126,02158.HK,医渡科技,5.26,0.37,4,2,,,779871075.0,34591947.0,407231511.0,372639564.0,,,,
20241126,09988.HK,阿里巴巴-W,83.35,1.4,3,2,,,1062315810.0,305566930.0,683941370.0,378374440.0,,,,
20241126,00700.HK,腾讯控股,393.8,-1.4,2,2,,,1107265909.0,-113508389.0,496878760.0,610387149.0,,,,
20241126,01810.HK,小米集团-W,27.2,-1.2,1,2,,,1674676980.0,87374960.0,881025970.0,793651010.0,,,,
20241125,03896.HK,金山云,3.5,0.09,10,4,,,,,,,363339792.0,17243448.0,190291620.0,173048172.0
20241125,00981.HK,中芯国际,25.1,0.05,9,4,,,,,,,427386875.0,-35578625.0,195904125.0,231482750.0
20241125,09868.HK,小鹏汽车-W,45.15,-0.05,8,4,,,,,,,458415060.0,-230110990.0,114152035.0,344263025.0
20241125,01024.HK,快手-W,46.35,2.0,7,4,,,,,,,481002703.0,-191260843.0,144870930.0,336131773.0
20241125,00941.HK,中国移动,70.9,0.45,6,4,,,,,,,586957625.0,-29120425.0,278918600.0,308039025.0
20241125,01810.HK,小米集团-W,28.4,-0.15,5,4,,,,,,,857645900.0,210443040.0,534044470.0,323601430.0
20241125,00883.HK,中国海洋石油,17.32,0.26,4,4,,,,,,,900274520.0,66801200.0,483537860.0,416736660.0
20241125,00700.HK,腾讯控股,395.2,-5.4,3,4,,,,,,,1071231772.0,255523428.0,663377600.0,407854172.0
20241125,09988.HK,阿里巴巴-W,81.95,1.25,2,4,,,,,,,1356536565.0,798392945.0,1077464755.0,279071810.0
20241125,03690.HK,美团-W,162.0,-5.1,1,4,,,,,,,1601367925.0,-786661165.0,407353380.0,1194014545.0
20241125,02465.HK,龙蟠科技,6.4,2.51,10,2,,,629195455.0,84387085.0,356791270.0,272404185.0,,,,
20241125,02318.HK,中国平安,44.3,-0.4,9,2,,,670811700.0,216485050.0,443648375.0,227163325.0,,,,
20241125,00981.HK,中芯国际,25.1,0.05,8,2,,,749536835.0,-232244485.0,258646175.0,490890660.0,,,,
20241125,00941.HK,中国移动,70.9,0.45,7,2,,,764575632.0,363888068.0,564231850.0,200343782.0,,,,
20241125,06682.HK,第四范式,47.55,3.55,6,2,,,842882010.0,125198050.0,484040030.0,358841980.0,,,,
20241125,00883.HK,中国海洋石油,17.32,0.26,5,2,,,1066325251.0,16680069.0,541502660.0,524822591.0,,,,
20241125,09988.HK,阿里巴巴-W,81.95,1.25,4,2,,,1185581652.0,53730578.0,619656115.0,565925537.0,,,,
20241125,03690.HK,美团-W,162.0,-5.1,3,2,,,1540313202.0,-753946342.0,393183430.0,1147129772.0,,,,
20241125,01810.HK,小米集团-W,28.4,-0.15,2,2,,,1676716130.0,-212532410.0,732091860.0,944624270.0,,,,
20241125,00700.HK,腾讯控股,395.2,-5.4,1,2,,,2065197646.0,-241956846.0,911620400.0,1153577246.0,,,,
20241122,00285.HK,比亚迪电子,34.2,1.4,10,4,,,,,,,500196575.0,176917825.0,338557200.0,161639375.0
20241122,02382.HK,舜宇光学科技,58.15,1.25,9,4,,,,,,,612020257.0,315530233.0,463775245.0,148245012.0
20241122,00941.HK,中国移动,70.45,-0.55,8,4,,,,,,,627851800.0,-249122400.0,189364700.0,438487100.0
20241122,01024.HK,快手-W,44.35,-2.05,7,4,,,,,,,628713900.0,-167114440.0,230799730.0,397914170.0
20241122,03690.HK,美团-W,167.1,-5.6,6,4,,,,,,,775314032.0,-310392652.0,232460690.0,542853342.0
20241122,00883.HK,中国海洋石油,17.06,-0.1,5,4,,,,,,,903984560.0,55635760.0,479810160.0,424174400.0
20241122,00981.HK,中芯国际,25.05,-1.8,4,4,,,,,,,1137899475.0,7535225.0,572717350.0,565182125.0
20241122,00700.HK,腾讯控股,400.6,-7.0,3,4,,,,,,,1274896928.0,104610192.0,689753560.0,585143368.0
20241122,01810.HK,小米集团-W,28.55,0.4,2,4,,,,,,,1427844057.0,142629823.0,785236940.0,642607117.0
20241122,09988.HK,阿里巴巴-W,80.7,-3.7,1,4,,,,,,,1891366986.0,-280044556.0,805661215.0,1085705771.0
20241122,06682.HK,第四范式,44.0,0.6,10,2,,,874190335.0,71019885.0,472605110.0,401585225.0,,,,
20241122,00883.HK,中国海洋石油,17.06,-0.1,9,2,,,881144280.0,175216560.0,528180420.0,352963860.0,,,,
20241122,02318.HK,中国平安,44.7,-1.45,8,2,,,901899775.0,194692175.0,548295975.0,353603800.0,,,,
20241122,01347.HK,华虹半导体,20.35,-1.65,7,2,,,911934900.0,199097800.0,555516350.0,356418550.0,,,,
20241122,01860.HK,汇量科技,8.64,0.9,6,2,,,941173670.0,-2163290.0,469505190.0,471668480.0,,,,
20241122,02429.HK,友宝在线,5.15,0.95,5,2,,,1217020205.0,93101115.0,655060660.0,561959545.0,,,,
20241122,00981.HK,中芯国际,25.05,-1.8,4,2,,,1954344945.0,16691305.0,985518125.0,968826820.0,,,,
20241122,09988.HK,阿里巴巴-W,80.7,-3.7,3,2,,,2000536767.0,-51318007.0,974609380.0,1025927387.0,,,,
20241122,00700.HK,腾讯控股,400.6,-7.0,2,2,,,2243585351.0,-537062191.0,853261580.0,1390323771.0,,,,
20241122,01810.HK,小米集团-W,28.55,0.4,1,2,,,3648720378.0,50715342.0,1849717860.0,1799002518.0,,,,
20241121,02550.HK,宜搜科技,14.04,4.38,10,4,,,,,,,381384755.0,4554925.0,192969840.0,188414915.0
20241121,09868.HK,小鹏汽车-W,47.35,-3.0,9,4,,,,,,,381712500.0,68350370.0,225031435.0,156681065.0
20241121,03896.HK,金山云,3.42,0.29,8,4,,,,,,,402728424.0,79305216.0,241016820.0,161711604.0
20241121,00285.HK,比亚迪电子,32.8,1.55,7,4,,,,,,,431765725.0,155617625.0,293691675.0,138074050.0
20241121,01918.HK,融创中国,2.37,-0.24,6,4,,,,,,,537441962.0,-76786342.0,230327810.0,307114152.0
20241121,01810.HK,小米集团-W,28.15,0.15,5,4,,,,,,,567100360.0,183852560.0,375476460.0,191623900.0
20241121,00883.HK,中国海洋石油,17.16,0.06,4,4,,,,,,,672841992.0,130063048.0,401452520.0,271389472.0
20241121,09988.HK,阿里巴巴-W,84.4,-0.35,3,4,,,,,,,697420235.0,283394505.0,490407370.0,207012865.0
20241121,00700.HK,腾讯控股,407.6,-3.2,2,4,,,,,,,871603980.0,62199020.0,466901500.0,404702480.0
20241121,01024.HK,快手-W,46.4,-6.15,1,4,,,,,,,1290974386.0,-66554486.0,612209950.0,678764436.0
20241121,09988.HK,阿里巴巴-W,84.4,-0.35,10,2,,,694577067.0,140459853.0,417518460.0,277058607.0,,,,
20241121,06682.HK,第四范式,43.4,-0.4,9,2,,,708633365.0,28146795.0,368390080.0,340243285.0,,,,
20241121,03896.HK,金山云,3.42,0.29,8,2,,,800872860.0,-94297300.0,353287780.0,447585080.0,,,,
20241121,02443.HK,汽车街,16.96,4.84,7,2,,,871622368.0,-1772336.0,434925016.0,436697352.0,,,,
20241121,01918.HK,融创中国,2.37,-0.24,6,2,,,942840010.0,-86380910.0,428229550.0,514610460.0,,,,
20241121,02550.HK,宜搜科技,14.04,4.38,5,2,,,977323070.0,-7979430.0,484671820.0,492651250.0,,,,
20241121,00883.HK,中国海洋石油,17.16,0.06,4,2,,,1031532460.0,-111189060.0,460171700.0,571360760.0,,,,
20241121,00700.HK,腾讯控股,407.6,-3.2,3,2,,,1131913655.0,-69886815.0,531013420.0,600900235.0,,,,
20241121,01810.HK,小米集团-W,28.15,0.15,2,2,,,1237604050.0,-203589450.0,517007300.0,720596750.0,,,,
20241121,01024.HK,快手-W,46.4,-6.15,1,2,,,1826928912.0,700438528.0,1263683720.0,563245192.0,,,,
20241120,03968.HK,招商银行,36.6,0.2,10,4,,,,,,,395200650.0,-375686300.0,9757175.0,385443475.0
20241120,09868.HK,小鹏汽车-W,50.35,-1.6,9,4,,,,,,,396453249.0,112102821.0,254278035.0,142175214.0
20241120,01801.HK,信达生物,38.8,2.9,8,4,,,,,,,442808029.0,280163871.0,361485950.0,81322079.0
20241120,06682.HK,第四范式,43.8,7.2,7,4,,,,,,,443786445.0,45769675.0,244778060.0,199008385.0
20241120,00883.HK,中国海洋石油,17.1,-0.06,6,4,,,,,,,512898900.0,-179188820.0,166855040.0,346043860.0
20241120,01860.HK,汇量科技,8.37,2.28,5,4,,,,,,,527213570.0,-19871830.0,253670870.0,273542700.0
20241120,03690.HK,美团-W,174.8,2.9,4,4,,,,,,,541769799.0,193934901.0,367852350.0,173917449.0
20241120,01810.HK,小米集团-W,28.0,-0.3,3,4,,,,,,,641670520.0,113349300.0,377509910.0,264160610.0
20241120,09988.HK,阿里巴巴-W,84.75,-0.5,2,4,,,,,,,796603455.0,15852485.0,406227970.0,390375485.0
20241120,00700.HK,腾讯控股,410.8,4.6,1,4,,,,,,,1036482560.0,-28690440.0,503896060.0,532586500.0
20241120,02727.HK,上海电气,3.19,0.07,10,2,,,639983120.0,20537240.0,330260180.0,309722940.0,,,,
20241120,03896.HK,金山云,3.13,0.66,9,2,,,678342860.0,-80250260.0,299046300.0,379296560.0,,,,
20241120,00981.HK,中芯国际,26.9,-0.2,8,2,,,745444299.0,-536299.0,372454000.0,372990299.0,,,,
20241120,03690.HK,美团-W,174.8,2.9,7,2,,,755967400.0,289765440.0,522866420.0,233100980.0,,,,
20241120,06682.HK,第四范式,43.8,7.2,6,2,,,822444655.0,-12616435.0,404914110.0,417530545.0,,,,
20241120,00883.HK,中国海洋石油,17.1,-0.06,5,2,,,831906140.0,-557780.0,415674180.0,416231960.0,,,,
20241120,01860.HK,汇量科技,8.37,2.28,4,2,,,1104396330.0,-4978110.0,549709110.0,554687220.0,,,,
20241120,00700.HK,腾讯控股,410.8,4.6,3,2,,,1327408940.0,302909100.0,815159020.0,512249920.0,,,,
20241120,01810.HK,小米集团-W,28.0,-0.3,2,2,,,1390054059.0,-87304399.0,651374830.0,738679229.0,,,,
20241120,09988.HK,阿里巴巴-W,84.75,-0.5,1,2,,,1415887857.0,69446503.0,742667180.0,673220677.0,,,,
20241119,09868.HK,小鹏汽车-W,51.95,1.75,10,4,,,,,,,344203690.0,66216620.0,205210155.0,138993535.0
20241119,01024.HK,快手-W,51.6,1.55,9,4,,,,,,,359372712.0,199630108.0,279501410.0,79871302.0
20241119,00941.HK,中国移动,70.95,0.1,8,4,,,,,,,389279275.0,-4836075.0,192221600.0,197057675.0
20241119,00981.HK,中芯国际,27.1,0.65,7,4,,,,,,,492081500.0,-5308200.0,243386650.0,248694850.0
20241119,03690.HK,美团-W,171.9,2.9,6,4,,,,,,,498031055.0,138799205.0,318415130.0,179615925.0
20241119,00883.HK,中国海洋石油,17.16,0.12,5,4,,,,,,,649797060.0,204824700.0,427310880.0,222486180.0
