ts_code,trade_date,adj_factor
688212.SH,20241202,1.01
688211.SH,20241202,1.0184
688210.SH,20241202,2.0373
688209.SH,20241202,1.018
688208.SH,20241202,1.0514
688207.SH,20241202,1.4
688206.SH,20241202,1.003
688205.SH,20241202,1.2261
688203.SH,20241202,1.013
688202.SH,20241202,1.976
688201.SH,20241202,3.326
688200.SH,20241202,2.2394
688199.SH,20241202,1.545
688198.SH,20241202,1.425
688197.SH,20241202,1.0
688196.SH,20241202,1.102
688195.SH,20241202,1.0251
688193.SH,20241202,1.0133
688192.SH,20241202,1.0
688191.SH,20241202,1.037
688190.SH,20241202,1.0281
688189.SH,20241202,1.976
688188.SH,20241202,2.0261
688187.SH,20241202,1.0407
688186.SH,20241202,1.0532
688185.SH,20241202,1.005
688184.SH,20241202,1.213
688183.SH,20241202,1.057
688182.SH,20241202,1.013
688181.SH,20241202,1.4358
688180.SH,20241202,1.0
688179.SH,20241202,2.848
688178.SH,20241202,1.025
688177.SH,20241202,1.0
688176.SH,20241202,1.0
688175.SH,20241202,1.447
688173.SH,20241202,1.0
688172.SH,20241202,1.002
688171.SH,20241202,1.021
688170.SH,20241202,1.034
688169.SH,20241202,2.8364
688168.SH,20241202,1.4231
688167.SH,20241202,1.009
688166.SH,20241202,1.0168
688165.SH,20241202,1.0
688163.SH,20241202,1.0905
688162.SH,20241202,1.013
688161.SH,20241202,1.0301
688160.SH,20241202,1.046
688159.SH,20241202,1.001
688158.SH,20241202,1.001
688157.SH,20241202,1.426
688156.SH,20241202,1.0332
688155.SH,20241202,1.4289
688153.SH,20241202,1.0015
688152.SH,20241202,1.494
688151.SH,20241202,1.0201
688150.SH,20241202,1.0183
688148.SH,20241202,1.005
688147.SH,20241202,1.003
688146.SH,20241202,1.012
688143.SH,20241202,1.315
688141.SH,20241202,1.0
688139.SH,20241202,1.037
688138.SH,20241202,1.0247
688137.SH,20241202,1.0264
688136.SH,20241202,1.005
688135.SH,20241202,1.488
688133.SH,20241202,1.979
688131.SH,20241202,2.7808
688130.SH,20241202,1.4011
688129.SH,20241202,1.0441
688128.SH,20241202,1.092
688127.SH,20241202,1.0314
688126.SH,20241202,1.0026
688125.SH,20241202,1.038
688123.SH,20241202,1.339
688122.SH,20241202,1.4827
688121.SH,20241202,1.009
688120.SH,20241202,2.2288
688119.SH,20241202,1.027
688118.SH,20241202,1.0533
688117.SH,20241202,1.434
688116.SH,20241202,1.5037
688115.SH,20241202,1.0374
688114.SH,20241202,1.004
688113.SH,20241202,1.018
688112.SH,20241202,1.566
688111.SH,20241202,1.0116
688110.SH,20241202,1.008
688109.SH,20241202,1.516
688108.SH,20241202,1.003
688107.SH,20241202,1.0
688106.SH,20241202,1.0645
688105.SH,20241202,1.0484
688103.SH,20241202,1.019
688102.SH,20241202,1.8514
688101.SH,20241202,1.0628
688100.SH,20241202,1.052
688099.SH,20241202,1.01
688098.SH,20241202,1.04
688097.SH,20241202,1.0097
688096.SH,20241202,1.483
688095.SH,20241202,1.94
688093.SH,20241202,1.476
688092.SH,20241202,1.4683
688091.SH,20241202,1.967
688090.SH,20241202,1.434
688089.SH,20241202,1.475
688088.SH,20241202,1.0311
688087.SH,20241202,1.4242
688085.SH,20241202,1.234
688084.SH,20241202,1.008
688083.SH,20241202,1.984
688082.SH,20241202,1.0108
688081.SH,20241202,1.42
688080.SH,20241202,1.423
688079.SH,20241202,1.012
688078.SH,20241202,1.043
688077.SH,20241202,1.464
688076.SH,20241202,1.0198
688075.SH,20241202,2.3291
688073.SH,20241202,1.459
688072.SH,20241202,2.194
688071.SH,20241202,1.0
688070.SH,20241202,1.006
688069.SH,20241202,2.046
688068.SH,20241202,1.5705
688067.SH,20241202,1.0272
688066.SH,20241202,1.408
688065.SH,20241202,1.4268
688063.SH,20241202,1.447
688062.SH,20241202,1.0
688061.SH,20241202,1.5028
688060.SH,20241202,1.012
688059.SH,20241202,1.4656
688058.SH,20241202,2.013
688057.SH,20241202,1.2333
688056.SH,20241202,1.0599
688055.SH,20241202,1.01
688053.SH,20241202,1.0133
688052.SH,20241202,1.407
688051.SH,20241202,1.013
688050.SH,20241202,1.814
688049.SH,20241202,1.214
688048.SH,20241202,1.311
688047.SH,20241202,1.0
688046.SH,20241202,1.0182
688045.SH,20241202,1.0
688041.SH,20241202,1.002
688039.SH,20241202,1.421
688038.SH,20241202,1.008
688037.SH,20241202,2.1661
688036.SH,20241202,1.5692
688035.SH,20241202,1.013
688033.SH,20241202,1.0159
688032.SH,20241202,3.227
688031.SH,20241202,1.0
688030.SH,20241202,1.011
688029.SH,20241202,1.462
688028.SH,20241202,1.5013
688027.SH,20241202,1.001
688026.SH,20241202,1.4382
688025.SH,20241202,1.027
688023.SH,20241202,1.3005
688022.SH,20241202,1.419
688021.SH,20241202,1.021
688020.SH,20241202,1.022
688019.SH,20241202,2.382
688018.SH,20241202,1.435
688017.SH,20241202,1.413
688016.SH,20241202,1.5847
688015.SH,20241202,1.069
688013.SH,20241202,1.0564
688012.SH,20241202,1.004
688011.SH,20241202,1.006
688010.SH,20241202,1.065
688009.SH,20241202,1.1771
688008.SH,20241202,1.024
688007.SH,20241202,1.0147
688006.SH,20241202,1.4671
688005.SH,20241202,1.0244
688004.SH,20241202,1.426
688003.SH,20241202,1.068
688002.SH,20241202,1.0135
688001.SH,20241202,1.032
605599.SH,20241202,1.128
605598.SH,20241202,1.4193
605589.SH,20241202,1.0508
605588.SH,20241202,1.008
605580.SH,20241202,1.572
605577.SH,20241202,1.0236
605567.SH,20241202,1.018
605566.SH,20241202,1.0424
605555.SH,20241202,2.065
605507.SH,20241202,1.073
605500.SH,20241202,2.2552
605499.SH,20241202,1.3678
605488.SH,20241202,1.556
605399.SH,20241202,1.7688
605398.SH,20241202,2.809
605389.SH,20241202,1.5066
605388.SH,20241202,1.461
605378.SH,20241202,1.523
605377.SH,20241202,2.3148
605376.SH,20241202,1.0408
605369.SH,20241202,2.0956
605368.SH,20241202,1.7945
605366.SH,20241202,1.9298
605365.SH,20241202,1.0516
605358.SH,20241202,1.514
605339.SH,20241202,1.047
605338.SH,20241202,1.051
605337.SH,20241202,2.742
605336.SH,20241202,1.5231
605333.SH,20241202,1.006
605319.SH,20241202,1.044
605318.SH,20241202,1.0868
605305.SH,20241202,2.004
605303.SH,20241202,1.021
605300.SH,20241202,1.035
605299.SH,20241202,1.105
605298.SH,20241202,1.793
605296.SH,20241202,1.333
605289.SH,20241202,1.292
605288.SH,20241202,1.462
605287.SH,20241202,1.4362
605286.SH,20241202,1.0352
605277.SH,20241202,2.471
605268.SH,20241202,1.083
605266.SH,20241202,2.894
605259.SH,20241202,2.1421
605258.SH,20241202,1.054
605255.SH,20241202,1.1288
605228.SH,20241202,1.025
605222.SH,20241202,1.034
605218.SH,20241202,1.032
605208.SH,20241202,1.7967
605199.SH,20241202,1.0174
605198.SH,20241202,1.0184
605196.SH,20241202,1.0176
605189.SH,20241202,1.271
605188.SH,20241202,1.014
605186.SH,20241202,1.0166
605183.SH,20241202,1.0958
605180.SH,20241202,1.7928
605179.SH,20241202,1.0209
605178.SH,20241202,1.405
605177.SH,20241202,1.0474
605169.SH,20241202,1.961
605168.SH,20241202,3.404
605167.SH,20241202,1.019
605166.SH,20241202,1.079
605162.SH,20241202,1.081
605158.SH,20241202,1.412
605155.SH,20241202,2.065
605151.SH,20241202,1.069
605138.SH,20241202,1.061
605136.SH,20241202,1.0286
605133.SH,20241202,1.0313
605128.SH,20241202,1.532
605123.SH,20241202,1.044
605122.SH,20241202,1.429
605118.SH,20241202,1.0495
605117.SH,20241202,3.679
605116.SH,20241202,1.03
605111.SH,20241202,3.9158
605108.SH,20241202,1.357
605100.SH,20241202,2.18
605099.SH,20241202,1.081
605098.SH,20241202,1.6991
605090.SH,20241202,1.5038
605089.SH,20241202,1.465
605088.SH,20241202,1.112
605086.SH,20241202,1.4748
605081.SH,20241202,1.506
605080.SH,20241202,1.4267
605077.SH,20241202,2.78
605069.SH,20241202,1.318
605068.SH,20241202,1.039
605066.SH,20241202,1.3947
605060.SH,20241202,1.081
605058.SH,20241202,1.0532
605056.SH,20241202,1.093
605055.SH,20241202,1.013
605050.SH,20241202,1.1261
