ts_code,trade_date,suspend_timing,suspend_type
600009.SH,19990630,,S
600711.SH,19990630,,S
600721.SH,19990630,,S
000016.SZ,19990630,,S
000508.SZ,19990630,,S
000603.SZ,19990630,,S
600813.SH,19990630,,S
600654.SH,19990630,,S
000045.SZ,19990630,,S
600835.SH,19990630,,S
600131.SH,19990630,,S
000628.SZ,19990630,,S
000787.SZ,19990630,,S
000409.SZ,19990630,,S
600629.SH,19990630,,S
600775.SH,19990630,,S
000506.SZ,19990630,,S
600100.SH,19990630,,S
600834.SH,19990630,,S
600083.SH,19990630,,S
000515.SZ,19990630,,S
600844.SH,19990630,,S
600837.SH,19990630,,S
600779.SH,19990701,,S
000508.SZ,19990701,,S
600833.SH,19990701,,S
600633.SH,19990701,,S
600689.SH,19990701,,S
600608.SH,19990701,,S
600663.SH,19990701,,S
600837.SH,19990701,,S
600835.SH,19990701,,S
000515.SZ,19990701,,S
600131.SH,19990701,,S
600748.SH,19990701,,S
600837.SH,19990702,,S
600131.SH,19990702,,S
000515.SZ,19990702,,S
600633.SH,19990702,,S
000508.SZ,19990702,,S
600835.SH,19990702,,S
000508.SZ,19990705,,S
600835.SH,19990705,,S
600131.SH,19990705,,S
600837.SH,19990705,,S
000508.SZ,19990706,,S
600837.SH,19990706,,S
000508.SZ,19990707,,S
600837.SH,19990707,,S
000508.SZ,19990708,,S
600837.SH,19990708,,S
000508.SZ,19990709,,S
000017.SZ,19990709,,S
600837.SH,19990712,,S
000549.SZ,19990712,,S
000535.SZ,19990712,,S
600882.SH,19990713,,S
000034.SZ,19990713,,S
600837.SH,19990713,,S
600837.SH,19990714,,S
600837.SH,19990715,,S
600636.SH,19990716,,S
000829.SZ,19990716,,S
600089.SH,19990719,,S
000555.SZ,19990719,,S
600209.SH,19990719,,S
000717.SZ,19990720,,S
600065.SH,19990720,,S
000793.SZ,19990720,,S
600740.SH,19990721,,S
600779.SH,19990722,,S
600766.SH,19990723,,S
600753.SH,19990723,,S
000885.SZ,19990723,,S
000779.SZ,19990728,,S
000639.SZ,19990729,,S
000618.SZ,19990729,,S
600791.SH,19990730,,S
000793.SZ,19990730,,S
600633.SH,19990730,,S
600090.SH,19990730,,S
600151.SH,19990730,,S
600803.SH,19990730,,S
000736.SZ,19990802,,S
600202.SH,19990802,,S
600653.SH,19990803,,S
000789.SZ,19990803,,S
000503.SZ,19990803,,S
000007.SZ,19990803,,S
600091.SH,19990805,,S
600655.SH,19990806,,S
600635.SH,19990806,,S
000015.SZ,19990806,,S
600705.SH,19990809,,S
600816.SH,19990809,,S
000890.SZ,19990809,,S
000605.SZ,19990809,,S
000015.SZ,19990809,,S
600794.SH,19990809,,S
000538.SZ,19990810,,S
600792.SH,19990810,,S
600672.SH,19990810,,S
600794.SH,19990810,,S
000089.SZ,19990812,,S
000528.SZ,19990813,,S
600807.SH,19990816,,S
600660.SH,19990816,,S
000651.SZ,19990816,,S
600091.SH,19990816,,S
000423.SZ,19990816,,S
000001.SZ,19990816,,S
600117.SH,19990816,,S
600602.SH,19990817,,S
000811.SZ,19990817,,S
000850.SZ,19990818,,S
000415.SZ,19990818,,S
000751.SZ,19990818,,S
600081.SH,19990820,,S
600172.SH,19990820,,S
000581.SZ,19990820,,S
600779.SH,19990820,,S
600703.SH,19990823,,S
000610.SZ,19990823,,S
000698.SZ,19990823,,S
