trade_date,ts_code,name,pct_change,close,net_amount,net_amount_rate,buy_elg_amount,buy_elg_amount_rate,buy_lg_amount,buy_lg_amount_rate,buy_md_amount,buy_md_amount_rate,buy_sm_amount,buy_sm_amount_rate
20240430,002120.SZ,韵达股份,-0.38,7.85,-347.73,-1.16,-2326982.0,-0.77,-115.04,-0.38,45.13,0.15,302.61,1.01
20240429,002120.SZ,韵达股份,3.28,7.88,1421.19,5.33,-1544400.0,-0.58,1575.63,5.91,-1355.1,-5.09,-66.09,-0.25
20240426,002120.SZ,韵达股份,-2.55,7.63,-425.85,-1.23,-13249431.0,-3.84,899.1,2.61,-3368.86,-9.77,3794.71,11.0
20240425,002120.SZ,韵达股份,5.95,7.83,4517.51,10.86,32477281.0,7.81,1269.78,3.05,-511.74,-1.23,-4005.77,-9.63
20240424,002120.SZ,韵达股份,2.64,7.39,1069.04,6.66,9712278.0,6.05,97.81,0.61,-66.17,-0.41,-1002.87,-6.25
20240423,002120.SZ,韵达股份,0.7,7.2,443.25,3.36,1866312.0,1.42,256.62,1.95,-919.07,-6.98,475.83,3.61
20240422,002120.SZ,韵达股份,0.7,7.15,-1004.27,-7.37,-15098642.0,-11.08,505.59,3.71,757.5,5.56,246.77,1.81
20240419,002120.SZ,韵达股份,-0.42,7.1,21.77,0.19,0.0,0.0,21.77,0.19,-539.02,-4.65,517.25,4.47
20240418,002120.SZ,韵达股份,2.0,7.13,-68.2,-0.46,-549231.0,-0.37,-13.28,-0.09,-320.4,-2.18,388.6,2.64
20240417,002120.SZ,韵达股份,3.86,6.99,-511.9,-3.23,-4325002.0,-2.73,-79.4,-0.5,-272.12,-1.72,784.02,4.94
20240416,002120.SZ,韵达股份,-3.86,6.73,-2929.59,-18.04,-5565758.0,-3.43,-2373.01,-14.61,846.33,5.21,2083.26,12.83
20240415,002120.SZ,韵达股份,-0.28,7.0,-280.49,-1.7,837242.0,0.51,-364.21,-2.21,53.53,0.32,226.96,1.38
20240412,002120.SZ,韵达股份,-1.4,7.02,77.37,0.74,596911.0,0.57,17.68,0.17,393.6,3.74,-470.97,-4.48
20240411,002120.SZ,韵达股份,-0.42,7.12,544.09,5.67,1990900.0,2.07,345.0,3.6,-151.68,-1.58,-392.41,-4.09
20240410,002120.SZ,韵达股份,-0.83,7.15,-321.32,-3.04,-3632744.0,-3.44,41.96,0.4,567.21,5.36,-245.9,-2.33
20240409,002120.SZ,韵达股份,1.12,7.21,101.83,1.22,0.0,0.0,101.83,1.22,102.6,1.23,-204.43,-2.46
20240408,002120.SZ,韵达股份,-2.46,7.13,-543.62,-3.8,-5312223.0,-3.72,-12.4,-0.09,1120.21,7.84,-576.59,-4.03
20240403,002120.SZ,韵达股份,-3.56,7.31,-1585.6,-8.37,-17779593.0,-9.38,192.36,1.02,857.54,4.53,728.06,3.84
20240402,002120.SZ,韵达股份,-0.26,7.58,-73.75,-0.48,2521850.0,1.65,-325.94,-2.13,1315.85,8.62,-1242.1,-8.13
20240401,002120.SZ,韵达股份,4.11,7.6,1025.59,5.36,6143674.0,3.21,411.22,2.15,34.98,0.18,-1060.57,-5.55
20240329,002120.SZ,韵达股份,1.67,7.3,-242.36,-1.58,-3014512.0,-1.96,59.09,0.38,814.35,5.3,-571.99,-3.73
20240328,002120.SZ,韵达股份,0.28,7.18,-1525.68,-8.79,-9685757.0,-5.58,-557.11,-3.21,645.94,3.72,879.74,5.07
20240327,002120.SZ,韵达股份,-2.85,7.16,54.62,0.38,-3878439.0,-2.68,442.46,3.06,-1025.6,-7.1,970.98,6.72
20240326,002120.SZ,韵达股份,0.55,7.37,-357.32,-3.32,-1671419.0,-1.55,-190.18,-1.77,-861.49,-8.0,1218.81,11.32
20240325,002120.SZ,韵达股份,-0.95,7.33,-408.81,-2.79,-3125897.0,-2.13,-96.22,-0.66,-1271.63,-8.68,1680.44,11.47
20240322,002120.SZ,韵达股份,-3.9,7.4,-3792.26,-17.17,-11175755.0,-5.06,-2674.68,-12.11,83.53,0.38,3708.73,16.79
20240321,002120.SZ,韵达股份,-1.03,7.7,511.77,2.65,7626305.0,3.94,-250.86,-1.3,-327.89,-1.7,-183.88,-0.95
20240320,002120.SZ,韵达股份,4.15,7.78,1347.09,3.86,11571663.0,3.32,189.92,0.54,706.3,2.02,-2053.39,-5.89
20240319,002120.SZ,韵达股份,-1.32,7.47,-1490.32,-9.39,-1405588.0,-0.89,-1349.76,-8.5,-138.87,-0.87,1629.19,10.26
20240318,002120.SZ,韵达股份,0.93,7.57,-30.44,-0.14,8404054.0,3.95,-870.85,-4.09,15.72,0.07,14.72,0.07
20240315,002120.SZ,韵达股份,2.04,7.5,4807.6,26.67,13581365.0,7.53,3449.46,19.14,-1959.75,-10.87,-2847.85,-15.8
20240314,002120.SZ,韵达股份,-2.0,7.35,-551.31,-2.66,-11286524.0,-5.44,577.34,2.78,389.99,1.88,161.32,0.78
20240313,002120.SZ,韵达股份,2.18,7.5,334.97,0.91,18594730.0,5.06,-1524.51,-4.15,-278.23,-0.76,-56.73,-0.15
20240312,002120.SZ,韵达股份,3.38,7.34,691.11,2.07,9772676.0,2.92,-286.16,-0.86,-399.65,-1.2,-291.46,-0.87
20240311,002120.SZ,韵达股份,2.31,7.1,-1836.0,-9.24,-12165202.0,-6.12,-619.48,-3.12,578.54,2.91,1257.46,6.33
20240308,002120.SZ,韵达股份,0.58,6.94,1137.82,9.11,6231671.0,4.99,514.65,4.12,-973.42,-7.79,-164.4,-1.32
20240307,002120.SZ,韵达股份,-1.43,6.9,-1131.6,-7.94,-8517381.0,-5.98,-279.86,-1.96,613.53,4.31,518.07,3.64
20240306,002120.SZ,韵达股份,-0.43,7.0,-1214.44,-9.32,-6497887.0,-4.99,-564.65,-4.33,111.97,0.86,1102.47,8.46
20240305,002120.SZ,韵达股份,-2.09,7.03,-1037.51,-6.08,-7687815.0,-4.51,-268.73,-1.58,785.68,4.61,251.83,1.48
20240304,002120.SZ,韵达股份,-0.28,7.18,433.55,3.13,579421.0,0.42,375.61,2.71,280.93,2.03,-714.48,-5.15
20240301,002120.SZ,韵达股份,-0.14,7.2,-3.44,-0.03,1733061.0,1.27,-176.75,-1.3,396.74,2.92,-393.29,-2.89
20240229,002120.SZ,韵达股份,2.85,7.21,-1329.99,-6.11,-6316090.0,-2.9,-698.38,-3.21,52.16,0.24,1277.83,5.87
20240228,002120.SZ,韵达股份,-3.18,7.01,-3618.48,-12.92,-22404344.0,-8.0,-1378.04,-4.92,479.33,1.71,3139.15,11.21
20240227,002120.SZ,韵达股份,1.12,7.24,-2380.53,-9.85,-6622024.0,-2.74,-1718.33,-7.11,1535.58,6.35,844.95,3.49
20240226,002120.SZ,韵达股份,-0.97,7.16,-2893.14,-10.33,-11117024.0,-3.97,-1781.44,-6.36,-253.37,-0.9,3146.51,11.23
20240223,002120.SZ,韵达股份,1.97,7.23,2749.73,10.19,-6786975.0,-2.51,3428.43,12.7,1902.68,7.05,-4652.42,-17.24
20240222,002120.SZ,韵达股份,0.42,7.09,271.46,1.93,-107325.0,-0.08,282.19,2.01,402.73,2.87,-674.18,-4.8
20240221,002120.SZ,韵达股份,-0.84,7.06,-969.91,-3.4,-15991203.0,-5.6,629.21,2.2,-625.27,-2.19,1595.18,5.59
20240220,002120.SZ,韵达股份,2.45,7.12,-128.12,-0.46,-16210914.0,-5.87,1492.97,5.4,1228.24,4.45,-1100.13,-3.98
20240219,002120.SZ,韵达股份,1.02,6.95,1670.06,5.8,13127108.0,4.56,357.34,1.24,318.32,1.1,-1988.37,-6.9
20240208,002120.SZ,韵达股份,-1.15,6.88,-2974.54,-7.49,-31238816.0,-7.86,149.34,0.38,-463.88,-1.17,3438.42,8.65
20240207,002120.SZ,韵达股份,7.74,6.96,-2584.87,-5.41,-7875569.0,-1.65,-1797.31,-3.76,-1241.82,-2.6,3826.69,8.01
20240206,002120.SZ,韵达股份,10.05,6.46,2306.25,7.32,22254649.0,7.06,80.78,0.26,-1601.28,-5.08,-704.97,-2.24
20240205,002120.SZ,韵达股份,-3.77,5.87,-129.77,-0.5,-1156819.0,-0.44,-14.08,-0.05,-627.04,-2.4,756.81,2.89
20240202,002120.SZ,韵达股份,-2.09,6.1,800.22,3.16,-8310886.0,-3.29,1631.31,6.45,-328.51,-1.3,-471.71,-1.87
20240201,002120.SZ,韵达股份,-0.16,6.23,635.8,3.65,-1534564.0,-0.88,789.25,4.54,-1115.95,-6.41,480.15,2.76
20240131,002120.SZ,韵达股份,-2.5,6.24,-960.69,-4.8,-1458770.0,-0.73,-814.81,-4.07,-351.38,-1.76,1312.06,6.55
20240130,002120.SZ,韵达股份,-3.61,6.4,-1341.71,-9.3,-7464065.0,-5.17,-595.3,-4.12,-354.48,-2.46,1696.19,11.75
20240129,002120.SZ,韵达股份,-1.78,6.64,-1957.71,-12.77,-22052916.0,-14.39,247.58,1.62,404.07,2.64,1553.64,10.14
20240126,002120.SZ,韵达股份,-0.73,6.76,-1935.54,-12.73,-6957834.0,-4.58,-1239.76,-8.15,450.07,2.96,1485.47,9.77
20240125,002120.SZ,韵达股份,2.56,6.81,594.37,2.92,1381211.0,0.68,456.25,2.24,364.16,1.79,-958.53,-4.71
20240124,002120.SZ,韵达股份,1.84,6.64,-412.57,-1.87,-15335415.0,-6.95,1120.97,5.08,166.26,0.75,246.31,1.12
20240123,002120.SZ,韵达股份,2.35,6.52,428.69,2.09,-2839098.0,-1.39,712.6,3.48,-1412.85,-6.9,984.16,4.8
20240122,002120.SZ,韵达股份,-5.21,6.37,-1581.82,-7.49,609466.0,0.29,-1642.76,-7.77,-328.17,-1.55,1909.98,9.04
20240119,002120.SZ,韵达股份,-0.88,6.72,-3682.6,-21.72,945324.0,0.56,-3777.13,-22.28,1493.95,8.81,2188.64,12.91
20240118,002120.SZ,韵达股份,-0.29,6.78,-762.07,-2.97,-5900967.0,-2.3,-171.97,-0.67,-812.33,-3.16,1574.4,6.13
20240117,002120.SZ,韵达股份,-2.16,6.8,1251.74,6.31,34418508.0,17.36,-2190.11,-11.04,-1569.56,-7.91,317.82,1.6
20240116,002120.SZ,韵达股份,0.0,6.95,-2621.26,-15.35,-2624588.0,-1.54,-2358.8,-13.82,327.72,1.92,2293.54,13.43
20240115,002120.SZ,韵达股份,-0.86,6.95,-1530.02,-10.52,786287.0,0.54,-1608.65,-11.06,693.55,4.77,836.47,5.75
20240112,002120.SZ,韵达股份,0.29,7.01,-3732.48,-15.51,12567112.0,5.22,-4989.19,-20.74,3480.73,14.47,251.75,1.05
20240111,002120.SZ,韵达股份,1.6,6.99,980.03,3.85,1726185.0,0.68,807.41,3.17,-246.29,-0.97,-733.74,-2.88
20240110,002120.SZ,韵达股份,0.0,6.88,-944.51,-4.57,6422761.0,3.11,-1586.79,-7.68,1329.65,6.44,-385.14,-1.86
20240109,002120.SZ,韵达股份,2.08,6.88,592.27,2.05,25823789.0,8.93,-1990.11,-6.88,-3187.02,-11.02,2594.74,8.97
20240108,002120.SZ,韵达股份,-2.88,6.74,-1110.24,-4.96,1053604.0,0.47,-1215.6,-5.43,1383.64,6.18,-273.4,-1.22
20240105,002120.SZ,韵达股份,-0.57,6.94,-81.18,-0.4,2066888.0,1.01,-287.87,-1.41,-681.17,-3.33,762.35,3.73
