trade_date,ts_code,ts_name,buy_amount,sell_amount,net_amount,hm_name,hm_orgs
20241227,600889.SH,南京化纤,49376587.96,0.0,49376587.96,湖州劳动路,华鑫证券有限责任公司南京清凉门大街证券营业部
20241227,002577.SZ,雷柏科技,24398263.0,60564.0,24337699.0,湖州劳动路,华鑫证券有限责任公司南京清凉门大街证券营业部
20241227,603803.SH,瑞斯康达,25287882.0,0.0,25287882.0,温州帮,中国国际金融股份有限公司北京建国门外大街证券营业部
20241227,603207.SH,小方制药,6891264.96,0.0,6891264.96,温州帮,中国国际金融股份有限公司北京建国门外大街证券营业部
20241227,603350.SH,安乃达,0.0,8587682.0,-8587682.0,温州帮,中国国际金融股份有限公司北京建国门外大街证券营业部
20241227,600579.SH,克劳斯,23380546.0,0.0,23380546.0,温州帮,平安证券股份有限公司山东分公司
20241227,000936.SZ,华西股份,42608192.0,21005578.0,21602614.0,深股通专用,深股通专用
20241227,000998.SZ,隆平高科,87461987.0,8640387.0,78821600.0,深股通专用,深股通专用
20241227,002075.SZ,沙钢股份,17504809.0,30440103.0,-12935294.0,深股通专用,深股通专用
20241227,002219.SZ,新里程,28151557.0,24626047.0,3525510.0,深股通专用,深股通专用
20241227,002265.SZ,建设工业,12429958.0,32819371.0,-20389413.0,深股通专用,深股通专用
20241227,301536.SZ,星宸科技,46959245.0,29282191.0,17677054.0,深股通专用,深股通专用
20241227,002518.SZ,科士达,163364885.0,41511018.0,121853867.0,深股通专用,深股通专用
20241227,002827.SZ,高争民爆,16734701.0,44778771.0,-28044070.0,深股通专用,深股通专用
20241227,300252.SZ,金信诺,61839428.0,21284591.0,40554837.0,深股通专用,深股通专用
20241227,300548.SZ,博创科技,105377708.0,92621918.0,12755790.0,深股通专用,深股通专用
20241227,600326.SH,西藏天路,35725098.0,0.0,35725098.0,沪股通专用,沪股通专用
20241227,603366.SH,日出东方,68017351.0,0.0,68017351.0,沪股通专用,沪股通专用
20241227,600397.SH,安源煤业,12657375.7,0.0,12657375.7,歌神,中国中金财富证券有限公司杭州江河汇证券营业部
20241227,002577.SZ,雷柏科技,12265083.0,25862.0,12239221.0,欢乐海岸,中泰证券股份有限公司深圳分公司
20241227,300599.SZ,雄塑科技,5887492.0,0.0,5887492.0,欢乐海岸,中泰证券股份有限公司深圳分公司
20241227,301598.SZ,博科测试,7762523.0,744699.0,7017824.0,欢乐海岸,国金证券股份有限公司深圳湾一号证券营业部
20241227,000759.SZ,中百集团,62601020.0,33663090.0,28937930.0,机构专用,机构专用
20241227,000936.SZ,华西股份,6202268.0,24289873.0,-18087605.0,机构专用,机构专用
20241227,000998.SZ,隆平高科,44227613.0,7216460.0,37011153.0,机构专用,机构专用
